imagen,porcentaje_enfermo,porcentaje_sano,estado,total_pixeles_aguacate
A.53.jpg,0.33,99.67,Sano,24257
A.76.jpg,1.41,98.59,Enfermo,25867
A.62.jpg,1.39,98.61,Enfermo,22711
A.129.jpg,49.27,50.73,Enfermo,21929
A.165.jpg,32.04,67.96,Enfermo,9328
A.38.jpg,5.15,94.85,Enfermo,9218
A.146.jpg,4.79,95.21,Enfermo,18697
A.30.jpg,7.97,92.03,Enfermo,19248
A.64.jpg,0.12,99.88,Sano,26444
A.159.jpg,11.43,88.57,Enfermo,16559
A.29.jpg,1.78,98.22,Enfermo,10018
A.18.jpg,0.81,99.19,Sano,26632
A.57.jpg,0.36,99.64,Sano,23536
A.169.jpg,8.57,91.43,Enfermo,23570
A.163.jpg,32.89,67.11,Enfermo,24254
A.24.jpg,0.13,99.87,Sano,22678
A.172.jpg,4.73,95.27,Enfermo,25118
A.45.jpg,1.34,98.66,Enfermo,20826
A.171.jpg,15.89,84.11,Enfermo,25441
A.120.jpg,0.73,99.27,Sano,22493
A.177.jpg,92.9,7.1,Enfermo,24286
A.47.jpg,2.38,97.62,Enfermo,18885
A.175.jpg,5.23,94.77,Enfermo,15247
A.28.jpg,8.83,91.17,Enfermo,21892
A.90.jpg,0.76,99.24,Sano,22088
A.82.jpg,0.16,99.84,Sano,22012
A.8.jpg,4.01,95.99,Enfermo,6863
A.93.jpg,2.97,97.03,Enfermo,19837
A.86.jpg,0.34,99.66,Sano,21349
A.96.jpg,1.33,98.67,Enfermo,20197
A.9.jpg,12.82,87.18,Enfermo,12313
A.92.jpg,1.44,98.56,Enfermo,19704
A.85.jpg,0.1,99.9,Sano,22477
A.98.jpg,0.23,99.77,Sano,21419
A.87.jpg,0.59,99.41,Sano,21216
A.89.jpg,1.15,98.85,Enfermo,23464
A.94.jpg,0.21,99.79,Sano,21686
A.97.jpg,1.4,98.6,Enfermo,24093
A.79.jpg,0.31,99.69,Sano,24933
A.84.jpg,0.05,99.95,Sano,22810
A.95.jpg,5.9,94.1,Enfermo,21212
A.88.jpg,0.72,99.28,Sano,21149
A.83.jpg,2.11,97.89,Enfermo,25787
A.91.jpg,0.48,99.52,Sano,21219
A.78.jpg,0.75,99.25,Sano,23462
A.80.jpg,0.25,99.75,Sano,24029
A.99.jpg,0.26,99.74,Sano,20632
A.77.jpg,1.16,98.84,Enfermo,24760
A.81.jpg,0.02,99.98,Sano,22893
S.182.jpg,0.04,99.96,Sano,24523
S.196.jpg,0.2,99.8,Sano,23097
S.164.jpg,0.4,99.6,Sano,24809
S.102.jpg,0.19,99.81,Sano,26955
S.177.jpg,0.63,99.37,Sano,22173
S.193.jpg,0.07,99.93,Sano,21437
S.204.jpg,0.48,99.52,Sano,26129
S.158.jpg,0.16,99.84,Sano,23147
S.192.jpg,0.74,99.26,Sano,22606
S.0.jpg,8.27,91.73,Enfermo,25111
S.15.jpg,12.81,87.19,Enfermo,24805
S.207.jpg,1.44,98.56,Enfermo,21667
S.165.jpg,0.15,99.85,Sano,24621
S.170.jpg,0.01,99.99,Sano,23088
S.203.jpg,0.23,99.77,Sano,27252
S.160.jpg,0.04,99.96,Sano,22693
S.162.jpg,0.29,99.71,Sano,23078
S.137.jpg,0.18,99.82,Sano,23197
S.173.jpg,0.38,99.62,Sano,22181
S.198.jpg,0.16,99.84,Sano,21706
S.123.jpg,0.14,99.86,Sano,30114
S.148.jpg,0.15,99.85,Sano,19119
S.187.jpg,0.25,99.75,Sano,23520
S.132.jpg,0.13,99.87,Sano,26023
S.130.jpg,0.31,99.69,Sano,30824
S.166.jpg,0.31,99.69,Sano,22754
S.133.jpg,0.02,99.98,Sano,27395
S.150.jpg,0.63,99.37,Sano,24014
S.161.jpg,0.05,99.95,Sano,22111
S.111.jpg,0.7,99.3,Sano,23162
S.174.jpg,0.33,99.67,Sano,22717
S.106.jpg,0.29,99.71,Sano,25146
S.135.jpg,0.08,99.92,Sano,20602
S.11.jpg,9.23,90.77,Enfermo,31663
S.108.jpg,0.46,99.54,Sano,21586
S.126.jpg,0.48,99.52,Sano,23280
S.125.jpg,0.18,99.82,Sano,26322
S.199.jpg,0.12,99.88,Sano,24011
S.163.jpg,0.32,99.68,Sano,24424
S.175.jpg,0.01,99.99,Sano,20764
S.2.jpg,0.01,99.99,Sano,19840
S.115.jpg,0.24,99.76,Sano,20351
S.184.jpg,0.06,99.94,Sano,21900
S.19.jpg,7.03,92.97,Enfermo,24265
S.16.jpg,30.31,69.69,Enfermo,25541
S.14.jpg,15.35,84.65,Enfermo,32312
S.179.jpg,0.0,100.0,Sano,22487
S.100.jpg,0.06,99.94,Sano,27057
S.134.jpg,0.04,99.96,Sano,20565
S.136.jpg,0.23,99.77,Sano,23351
S.159.jpg,0.51,99.49,Sano,23208
S.181.jpg,0.32,99.68,Sano,23902
S.138.jpg,0.4,99.6,Sano,24023
S.169.jpg,1.23,98.77,Enfermo,22153
S.188.jpg,0.17,99.83,Sano,23005
S.147.jpg,0.09,99.91,Sano,21516
S.151.jpg,0.0,100.0,Sano,20508
S.124.jpg,0.22,99.78,Sano,30409
S.1.jpg,0.43,99.57,Sano,22533
S.208.jpg,0.32,99.68,Sano,21818
S.172.jpg,0.23,99.77,Sano,27978
S.189.jpg,0.11,99.89,Sano,19529
S.143.jpg,0.13,99.87,Sano,21753
S.131.jpg,2.03,97.97,Enfermo,27247
S.209.jpg,1.05,98.95,Enfermo,25065
S.167.jpg,0.29,99.71,Sano,20715
S.18.jpg,3.71,96.29,Enfermo,29697
